clinical_status	dose	hour	module	timing	n_complete	n_partial	delta_complete_minus_partial	hedges_g	welch_p
stable	16MU	24	ifn_apc	delta	12	13	0.12453506606282605	0.2912201793761046	0.4548300923956807
stable	16MU	24	hla_ii_without_cd74	baseline	12	13	0.2526684468490228	0.35903338456848977	0.35658533418748867
stable	16MU	24	hla_ii_without_cd74	delta	12	13	0.2742931034469764	0.650745076917274	0.10194483579402644
stable	16MU	24	receptor_only_cd74_cd44_cxcr4	baseline	12	13	-0.12760681388546327	-0.29478914864976213	0.4636345137329628
stable	16MU	24	receptor_only_cd74_cd44_cxcr4	delta	12	13	0.18705690056869098	0.3954640618516358	0.31635684628866045
stable	16MU	24	cd74_alone	baseline	12	13	0.004094067557258885	0.005991359423734453	0.987550529764236
stable	16MU	24	cd74_alone	delta	12	13	0.316719671356357	0.7523108821213343	0.06488212213782711
stable	all	4	ifn_apc	baseline	24	28	0.09692076730667382	0.25569094429923866	0.34294906578575995
stable	all	4	ifn_apc	delta	24	28	-0.032979434940227925	-0.053297223975687716	0.8462661392522857
stable	all	4	hla_ii_without_cd74	baseline	24	28	0.44578798710071743	0.6436377598052234	0.01998220256447794
stable	all	4	hla_ii_without_cd74	delta	24	28	0.04484210729366975	0.09306712902836216	0.735199211181982
stable	all	4	receptor_only_cd74_cd44_cxcr4	baseline	24	28	-0.07297650910541009	-0.1323415386936623	0.6326583751522344
stable	all	4	receptor_only_cd74_cd44_cxcr4	delta	24	28	0.31948769395433857	0.6084492242852696	0.0327644119808477
stable	all	4	cd74_alone	baseline	24	28	0.15782694274677675	0.2313127950522098	0.3916559777490986
stable	all	4	cd74_alone	delta	24	28	0.11857753090644677	0.28044505863622227	0.3075693489414845
stable	all	24	ifn_apc	baseline	24	27	0.07133858650652891	0.193236989297775	0.4798099954800614
stable	all	24	ifn_apc	delta	24	27	0.027192718800881588	0.0688732027518911	0.8024828077211853
stable	all	24	hla_ii_without_cd74	baseline	24	27	0.3921334350686166	0.5885030804086917	0.035547151499872046
stable	all	24	hla_ii_without_cd74	delta	24	27	0.1077294796680376	0.2494284457174841	0.3607009048439818
stable	all	24	receptor_only_cd74_cd44_cxcr4	baseline	24	27	-0.0890845146381744	-0.16095313330304215	0.5639275997299344
stable	all	24	receptor_only_cd74_cd44_cxcr4	delta	24	27	0.24783175118792564	0.4301975456721736	0.12109076140986927
stable	all	24	cd74_alone	baseline	24	27	0.09296264734925536	0.14546959273975643	0.5962802999648148
stable	all	24	cd74_alone	delta	24	27	0.16651802415236017	0.39887299907343055	0.15289570508672778
all	8MU	4	ifn_apc	baseline	12	14	0.08436218095867781	0.22389253272042797	0.5569199645156748
all	8MU	4	ifn_apc	delta	12	14	-0.1441058057979726	-0.2256301843973584	0.5575671086268104
all	8MU	4	hla_ii_without_cd74	baseline	12	14	0.5199166077835313	0.7897776887824393	0.04839969609472349
all	8MU	4	hla_ii_without_cd74	delta	12	14	-0.004065423957367226	-0.008793235883822666	0.982584673429895
all	8MU	4	receptor_only_cd74_cd44_cxcr4	baseline	12	14	-0.04657558052223604	-0.06908451838151788	0.8564738488505312
all	8MU	4	receptor_only_cd74_cd44_cxcr4	delta	12	14	0.5194150043705472	0.9074205554322506	0.02318126613654729
all	8MU	4	cd74_alone	baseline	12	14	0.17545960266075272	0.2750817572003261	0.48231197821311084
all	8MU	4	cd74_alone	delta	12	14	0.0429666367263447	0.09858324455475083	0.8042709717353218
all	8MU	24	ifn_apc	baseline	12	14	0.08436218095867781	0.22389253272042797	0.5569199645156748
all	8MU	24	ifn_apc	delta	12	14	-0.0723847209575515	-0.19662990422892734	0.6065390372573822
all	8MU	24	hla_ii_without_cd74	baseline	12	14	0.5199166077835313	0.7897776887824393	0.04839969609472349
all	8MU	24	hla_ii_without_cd74	delta	12	14	-0.04806565809608076	-0.10792652922980617	0.7765726242153037
all	8MU	24	receptor_only_cd74_cd44_cxcr4	baseline	12	14	-0.04657558052223604	-0.06908451838151788	0.8564738488505312
all	8MU	24	receptor_only_cd74_cd44_cxcr4	delta	12	14	0.3078286583727116	0.44254069283263414	0.24662243595674535
all	8MU	24	cd74_alone	baseline	12	14	0.17545960266075272	0.2750817572003261	0.48231197821311084
all	8MU	24	cd74_alone	delta	12	14	0.019300386444752543	0.04499656655619244	0.9048794694943069
all	16MU	4	ifn_apc	baseline	12	29	0.10329403726517189	0.2950165324051049	0.3380082872055117
all	16MU	4	ifn_apc	delta	12	29	0.16852630147051495	0.2734075018174041	0.4162551471551158
all	16MU	4	hla_ii_without_cd74	baseline	12	29	0.4212250453363726	0.6586321118513796	0.04076654104228076
all	16MU	4	hla_ii_without_cd74	delta	12	29	0.1682840660158812	0.37491787477208055	0.23111380387376299
all	16MU	4	receptor_only_cd74_cd44_cxcr4	baseline	12	29	0.07397138289994179	0.15923931871485553	0.661371786916051
all	16MU	4	receptor_only_cd74_cd44_cxcr4	delta	12	29	0.0774589973053822	0.17966996936643959	0.6740148893239852
all	16MU	4	cd74_alone	baseline	12	29	0.17721058928573796	0.2804738241536455	0.33851828576130977
all	16MU	4	cd74_alone	delta	12	29	0.2554519877521306	0.6257504140615983	0.031307250824277016
all	16MU	24	ifn_apc	baseline	12	28	0.0778454846710579	0.23308390489177266	0.46175508506086244
all	16MU	24	ifn_apc	delta	12	28	0.21341076949711124	0.49254520024964815	0.11937282294075167
all	16MU	24	hla_ii_without_cd74	baseline	12	28	0.3677494640693376	0.6158197540059646	0.06547422300048064
all	16MU	24	hla_ii_without_cd74	delta	12	28	0.2591624727722991	0.5979761031939125	0.03859918124405866
all	16MU	24	receptor_only_cd74_cd44_cxcr4	baseline	12	28	0.06705591611526668	0.14275800918368825	0.6933276796929134
all	16MU	24	receptor_only_cd74_cd44_cxcr4	delta	12	28	0.04943810493739778	0.08637703329117005	0.774635370940585
all	16MU	24	cd74_alone	baseline	12	28	0.11534321456684127	0.2023255810285068	0.5127741937008878
all	16MU	24	cd74_alone	delta	12	28	0.31440807666159865	0.7527248285309914	0.03875221879258407
all	all	4	ifn_apc	baseline	24	43	0.08728813254104228	0.2486501262255499	0.3000491445373821
all	all	4	ifn_apc	delta	24	43	0.01137661225064912	0.01849189228715896	0.9414755272320463
all	all	4	hla_ii_without_cd74	baseline	24	43	0.4449570323496644	0.7047761390526338	0.005078303980688954
all	all	4	hla_ii_without_cd74	delta	24	43	0.1351877567911026	0.29488609447187253	0.25557077531451083
all	all	4	receptor_only_cd74_cd44_cxcr4	baseline	24	43	0.06763115785843549	0.12223524074395775	0.6328519769352553
all	all	4	receptor_only_cd74_cd44_cxcr4	delta	24	43	0.27691503074126295	0.5679107378547852	0.040405297847586265
all	all	4	cd74_alone	baseline	24	43	0.1765239321514435	0.28636927780961224	0.2425421510494825
all	all	4	cd74_alone	delta	24	43	0.19774971963810167	0.4691335558967155	0.06245407566748188
all	all	24	ifn_apc	baseline	24	42	0.07061309643700547	0.20628776286544526	0.3964861521147737
all	all	24	ifn_apc	delta	24	42	0.0752677252746291	0.18533974161772548	0.4460843414679157
all	all	24	hla_ii_without_cd74	baseline	24	42	0.4104450356920983	0.6742592815098308	0.008391461023739622
all	all	24	hla_ii_without_cd74	delta	24	42	0.15148482262568833	0.3452026891256466	0.1377133261052419
all	all	24	receptor_only_cd74_cd44_cxcr4	baseline	24	42	0.06062381303889286	0.10895299188368046	0.6705692458102452
all	all	24	receptor_only_cd74_cd44_cxcr4	delta	24	42	0.152196170261488	0.2501135686056113	0.29183582167479966
all	all	24	cd74_alone	baseline	24	42	0.13527062295314798	0.23305916450493036	0.35492877496674463
all	all	24	cd74_alone	delta	24	42	0.179897008504467	0.4317902284514525	0.0869054557251015
