scenario	seed	method	batch	n_patients	n_baseline_samples	n_early_samples	response_fraction	synthetic_only
site_response_coupled	5702	outcome_aware_constrained	4	10	10	10	0.5	True
site_response_coupled	5702	outcome_aware_constrained	5	10	10	10	0.4	True
site_response_coupled	5703	capacity_random	0	10	10	10	0.4	True
site_response_coupled	5703	capacity_random	1	10	10	10	0.4	True
site_response_coupled	5703	capacity_random	2	10	10	10	0.4	True
site_response_coupled	5703	capacity_random	3	10	10	10	0.1	True
site_response_coupled	5703	capacity_random	4	10	10	10	0.6	True
site_response_coupled	5703	capacity_random	5	10	10	10	0.7	True
site_response_coupled	5703	outcome_blind_constrained	0	10	10	10	0.4	True
site_response_coupled	5703	outcome_blind_constrained	1	10	10	10	0.3	True
site_response_coupled	5703	outcome_blind_constrained	2	10	10	10	0.5	True
site_response_coupled	5703	outcome_blind_constrained	3	10	10	10	0.6	True
site_response_coupled	5703	outcome_blind_constrained	4	10	10	10	0.5	True
site_response_coupled	5703	outcome_blind_constrained	5	10	10	10	0.3	True
site_response_coupled	5703	outcome_aware_constrained	0	10	10	10	0.3	True
site_response_coupled	5703	outcome_aware_constrained	1	10	10	10	0.3	True
site_response_coupled	5703	outcome_aware_constrained	2	10	10	10	0.5	True
site_response_coupled	5703	outcome_aware_constrained	3	10	10	10	0.5	True
site_response_coupled	5703	outcome_aware_constrained	4	10	10	10	0.5	True
site_response_coupled	5703	outcome_aware_constrained	5	10	10	10	0.5	True
rare_site	5701	capacity_random	0	10	10	10	0.6	True
rare_site	5701	capacity_random	1	10	10	10	0.3	True
rare_site	5701	capacity_random	2	10	10	10	0.6	True
rare_site	5701	capacity_random	3	10	10	10	0.3	True
rare_site	5701	capacity_random	4	10	10	10	0.7	True
rare_site	5701	capacity_random	5	10	10	10	0.4	True
rare_site	5701	outcome_blind_constrained	0	10	10	10	0.4	True
rare_site	5701	outcome_blind_constrained	1	10	10	10	0.4	True
rare_site	5701	outcome_blind_constrained	2	10	10	10	0.5	True
rare_site	5701	outcome_blind_constrained	3	10	10	10	0.5	True
rare_site	5701	outcome_blind_constrained	4	10	10	10	0.5	True
rare_site	5701	outcome_blind_constrained	5	10	10	10	0.6	True
rare_site	5701	outcome_aware_constrained	0	10	10	10	0.5	True
rare_site	5701	outcome_aware_constrained	1	10	10	10	0.4	True
rare_site	5701	outcome_aware_constrained	2	10	10	10	0.6	True
rare_site	5701	outcome_aware_constrained	3	10	10	10	0.5	True
rare_site	5701	outcome_aware_constrained	4	10	10	10	0.5	True
rare_site	5701	outcome_aware_constrained	5	10	10	10	0.4	True
rare_site	5702	capacity_random	0	10	10	10	0.5	True
rare_site	5702	capacity_random	1	10	10	10	0.6	True
rare_site	5702	capacity_random	2	10	10	10	0.5	True
rare_site	5702	capacity_random	3	10	10	10	0.5	True
rare_site	5702	capacity_random	4	10	10	10	0.4	True
rare_site	5702	capacity_random	5	10	10	10	0.2	True
rare_site	5702	outcome_blind_constrained	0	10	10	10	0.4	True
rare_site	5702	outcome_blind_constrained	1	10	10	10	0.4	True
rare_site	5702	outcome_blind_constrained	2	10	10	10	0.6	True
rare_site	5702	outcome_blind_constrained	3	10	10	10	0.7	True
rare_site	5702	outcome_blind_constrained	4	10	10	10	0.3	True
rare_site	5702	outcome_blind_constrained	5	10	10	10	0.3	True
rare_site	5702	outcome_aware_constrained	0	10	10	10	0.3	True
rare_site	5702	outcome_aware_constrained	1	10	10	10	0.4	True
rare_site	5702	outcome_aware_constrained	2	10	10	10	0.6	True
rare_site	5702	outcome_aware_constrained	3	10	10	10	0.4	True
rare_site	5702	outcome_aware_constrained	4	10	10	10	0.5	True
rare_site	5702	outcome_aware_constrained	5	10	10	10	0.5	True
rare_site	5703	capacity_random	0	10	10	10	0.4	True
rare_site	5703	capacity_random	1	10	10	10	0.4	True
rare_site	5703	capacity_random	2	10	10	10	0.3	True
rare_site	5703	capacity_random	3	10	10	10	0.2	True
rare_site	5703	capacity_random	4	10	10	10	0.8	True
rare_site	5703	capacity_random	5	10	10	10	0.4	True
rare_site	5703	outcome_blind_constrained	0	10	10	10	0.6	True
rare_site	5703	outcome_blind_constrained	1	10	10	10	0.3	True
rare_site	5703	outcome_blind_constrained	2	10	10	10	0.4	True
rare_site	5703	outcome_blind_constrained	3	10	10	10	0.5	True
rare_site	5703	outcome_blind_constrained	4	10	10	10	0.4	True
rare_site	5703	outcome_blind_constrained	5	10	10	10	0.3	True
rare_site	5703	outcome_aware_constrained	0	10	10	10	0.6	True
rare_site	5703	outcome_aware_constrained	1	10	10	10	0.4	True
rare_site	5703	outcome_aware_constrained	2	10	10	10	0.3	True
rare_site	5703	outcome_aware_constrained	3	10	10	10	0.5	True
rare_site	5703	outcome_aware_constrained	4	10	10	10	0.4	True
rare_site	5703	outcome_aware_constrained	5	10	10	10	0.3	True
