gene	score	wave62_call	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	chembl_target_id	druggable_activity_count	manual_blocker	prior_context_blocker	wave103_call	genetics_gate	cellstate_gate	reachable_gate	unblocked_gate	promote	blockers
TYK2	23.5	NO_GO_WAVE62_TARGET_RESOLUTION	6	Crohn;PBC;Psoriasis;RA;SLE;T1D	7	AS;Crohn;PBC;Psoriasis;RA;SLE;T1D	0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus	CHEMBL3553	17132	prior_art_autoimmune_kinase_class	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
IL12A	23.5	NO_GO_WAVE62_TARGET_RESOLUTION	4	Celiac;MS;PBC;SLE	9	Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	0.8900686502456665	0.9902880853449612	1	0	type 1 diabetes mellitus		0	prior_art_IL12_IL23_biologic_class	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PTPN2	21.5	NO_GO_WAVE62_TARGET_RESOLUTION	5	Celiac;Crohn;Psoriasis;RA;T1D	5	Celiac;Crohn;Psoriasis;RA;T1D	0.0	0.0	4	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	CHEMBL3807	1279	TCPTP_restoration_not_currently_druggable	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
IRF5	21.5	NO_GO_WAVE62_TARGET_RESOLUTION	7	Crohn;PBC;Psoriasis;RA;SLE;Sjogren;UC	7	Crohn;PBC;Psoriasis;RA;SLE;Sjogren;UC	0.0	0.0	0	0			0	prior_art_or_crowded_TF_axis	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CLEC16A	20.0	NO_GO_WAVE62_TARGET_RESOLUTION	6	Crohn;MS;PBC;Psoriasis;SLE;T1D	4	Crohn;MS;SLE;T1D	0.6525351405143738	0.8537723929482786	1	0	Crohn disease		0	nan	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL10	19.0	NO_GO_WAVE62_TARGET_RESOLUTION	3	Crohn;T1D;UC	8	AITD;Crohn;MS;PBC;RA;SLE;T1D;UC	0.0	0.9897984902414572	0	0		CHEMBL3712920	0	nan	prior_branch_blocker_or_directionality_unresolved	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	True	False	False	insufficient_cell_state_support;prior_or_local_no_go_blocker
TAGAP	18.5	NO_GO_WAVE62_TARGET_RESOLUTION	6	Celiac;Crohn;MS;Psoriasis;RA;T1D	3	Celiac;Crohn;MS	0.8897240161895752	0.9951413234333548	1	0	Crohn disease		0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
INAVA	17.5	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	4	AS;Crohn;MS;UC	5	AS;Crohn;MS;PBC;UC	0.6894342303276062	0.9828462411264802	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	True	False	False	False	False	insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL12B	17.0	NO_GO_WAVE62_TARGET_RESOLUTION	4	Crohn;PBC;Psoriasis;UC	8	Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC	0.0	0.0	0	0			0	prior_art_IL12_IL23_biologic_class	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FCGR2A	16.5	NO_GO_WAVE62_TARGET_RESOLUTION	4	AS;Crohn;SLE;UC	7	AS;Celiac;Crohn;Psoriasis;RA;SLE;UC	0.0	0.0	1	0	Sjogren syndrome		0	Fc_receptor_directionality_and_safety	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
