gene	shadow_evidence_score	genetics_gate	cellstate_gate	ms_expression_trend	perturbation_trend	reachable_annotation	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	c15_trend_positive_disease_count	c15_strict_positive_context_count	c15_myeloid_positive_context_count	positive_c15_contexts	best_c15_context	ms_delta_log2	ms_p	w37_contrast_lfc	w37_contrast_fdr	chembl_target_id	druggable_activity_count	wave82_evidence_channel_count	wave82_call	label_class_annotation	prior_annotation	data_gap_annotation
STAT4	15.9	True	True	False	False	True	8.0	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	7.0	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren	0.845672070980072	0.955404271318453	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid	0.8684079555977076	0.4607005214454064	-0.0419731364238392	1.0	CHEMBL4523296	0.0	3.0	NO_GO_WAVE82_BLOCKED	prior_art_or_local_prior	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW | STAT4_TF_not_selectively_druggable | prior_branch_blocker_or_directionality_unresolved | STAT4_TF_not_selectively_druggable prior_branch_blocker_or_directionality_unresolved PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW    | no_positive_perturbation_or_model_support;insufficient_cross_disease_state_breadth;tf_not_selectively_druggable_wrong_direction | tf_not_selectively_druggable_wrong_direction	missing_ms_expression,perturbation
SP140	13.499999999999998	True	True	False	True	True	3.0	Crohn;MS;Psoriasis	3.0	Crohn;MS;Psoriasis	0.8754889965057373	0.9868116204727	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid	-0.0867628128456026	0.7262224269643743	1.0553304433165922	0.920009505703422	CHEMBL3108643	0.0	4.0	NO_GO_WAVE82_BLOCKED	prior_art_or_local_prior	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW |   PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW    | no_positive_perturbation_or_model_support;prior_art_directionality_and_no_strict_model_support | prior_art_directionality_and_no_strict_model_support	missing_ms_expression
IL7R	12.6	True	True	False	False	False	4.0	Crohn;MS;PBC;T1D	4.0	Crohn;MS;PBC;T1D	0.9447864890098572	0.9844688660839735	3.0	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid	-0.6536992297096775	0.5724603142052797	-0.1553618289551992	1.0		0.0	0.0		prior_art_or_local_prior	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW | prior_art_CD127_autoimmune_axis | prior_art_CD127_autoimmune_axis  PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW   	missing_ms_expression,perturbation,reachability
IL10	11.400000000000002	True	False	True	False	True	3.0	Crohn;T1D;UC	8.0	AITD;Crohn;MS;PBC;RA;SLE;T1D;UC	0.0	0.9897984902414572	1.0	1.0	0.0	t1d_endothelial_cell	t1d_endothelial_cell	0.5386340709389863	0.0920894843746553	-0.5103208039261532	0.9971256078463696	CHEMBL3712920	0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | prior_branch_blocker_or_directionality_unresolved | insufficient_cell_state_support;prior_or_local_no_go_blocker |  prior_branch_blocker_or_directionality_unresolved NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cell_state_support;prior_or_local_no_go_blocker	missing_cell_state,perturbation
SIRPB1	11.0	True	True	False	False	False	0.0		6.0	Celiac;Crohn;MS;PBC;SLE;T1D	0.0	0.9438772520186	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid	-1.0021015578708674	0.4504705734651159	0.0	1.0		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_ms_expression,perturbation,reachability
CD83	10.700000000000001	True	True	False	False	False	1.0	RA	5.0	Celiac;MS;Psoriasis;RA;SLE	0.0	0.9553555791585512	2.0	1.0	1.0	sjogren_gland_apc;t1d_endothelial_cell	t1d_endothelial_cell	0.0285027478328991	0.9307536978902214	0.2941420855132184	1.0		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_ms_expression,perturbation,reachability
IFI30	10.200000000000001	True	True	False	False	False	1.0	MS	3.0	Celiac;Crohn;MS	0.6501023173332214	0.9959013728724722	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid	0.21016237009791	0.379946954952182	-0.2446589434714685	0.920009505703422		0.0	0.0		prior_art_or_local_prior	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE | direct_antigen_processing_host_defense_and_druggability | insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker | direct_antigen_processing_host_defense_and_druggability  PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE   insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_ms_expression,perturbation,reachability
PTPN2	10.1	False	True	False	False	True	5.0	Celiac;Crohn;Psoriasis;RA;T1D	5.0	Celiac;Crohn;Psoriasis;RA;T1D	0.0	0.0	3.0	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_endothelial_cell	ibd_uc_myeloid	-0.0059418057306839	0.9843569990044077	-0.0753878253768604	0.9971256078463696	CHEMBL3807	1279.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | TCPTP_restoration_not_currently_druggable | prior_branch_blocker_or_directionality_unresolved | insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker | TCPTP_restoration_not_currently_druggable prior_branch_blocker_or_directionality_unresolved NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker	missing_genetics,ms_expression,perturbation
ARHGAP31	9.799999999999999	True	True	False	False	False	0.0		3.0	MS;PBC;SLE	0.0	0.9697933601892716	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid	-0.1574657406921833	0.5701707739851036	0.3933852750201005	1.0		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_ms_expression,perturbation,reachability
IL12A	9.600000000000001	True	False	False	False	False	4.0	Celiac;MS;PBC;SLE	9.0	Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	0.8900686502456665	0.9902880853449612	1.0	1.0	0.0	t1d_ductal_cell;t1d_stellate_cell	t1d_stellate_cell	-0.9142671409053884	0.4432527767673943	-0.1348344743865231	0.9971256078463696		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | prior_art_IL12_IL23_biologic_class | insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker | prior_art_IL12_IL23_biologic_class  NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_cell_state,ms_expression,perturbation,reachability
