sample_prefix	status	n_cells	n_genes_selected
GSM5550101_Psoriasis01_preTx_LS	completed	945	101
GSM5550102_Psoriasis02_preTx_LS	completed	969	101
GSM5550103_Psoriasis03_preTx_LS	completed	1432	101
GSM5550104_Psoriasis04_postTx_week12_LS	completed	1761	101
GSM5550105_Psoriasis04_preTx_LS	completed	2187	101
GSM5550106_Psoriasis05_postTx_week12_LS	completed	705	101
GSM5550107_Psoriasis05_preTx_LS	completed	2894	101
GSM5550108_Psoriasis06_preTx_LS	completed	1989	101
GSM5550109_Psoriasis07_postTx_week12_LS	completed	2575	101
GSM5550110_Psoriasis07_postTx_week48_LS	completed	1159	101
GSM5550111_Psoriasis07_preTx_LS	completed	1738	101
GSM5550112_Psoriasis07_preTx_LS_02	completed	2469	101
GSM5550113_Psoriasis07_preTx_NL_02	completed	2026	101
GSM5550114_Psoriasis08_postTx_week12_LS	completed	1515	101
GSM5550115_Psoriasis08_postTx_week24_LS	completed	4333	101
GSM5550116_Psoriasis08_preTx_LS	completed	4340	101
GSM5550117_Psoriasis09_preTx_LS	completed	2168	101
GSM5550118_Psoriasis10_preTx_LS	completed	1855	101
GSM5550119_Control01	completed	2582	101
GSM5550120_Control02	completed	1033	101
GSM5550121_Control03	completed	355	101
GSM5550122_Control04	completed	1531	101
GSM5550123_Control05	completed	281	101
GSM5550124_Control06	completed	1171	101
GSM5550125_Control07	completed	839	101
GSM5550126_Control08	completed	3871	101
GSM5550127_Control09	completed	2615	101
GSM5550128_Control10	completed	2490	101
