gene	modules	n_induced_contexts	n_cux1_nominal_suppressed	n_cux1_selective_nominal	mean_cux1_effect	mean_stat3_effect	mean_stat4_effect
CXCL1	epithelial_chemokine_entry	5	5	5	-1.5045406306288975	-0.0555012646766377	-0.3785688345922414
CXCL8	epithelial_chemokine_entry	5	4	3	-1.3559354685852154	-0.511293392867042	-0.9569208490521218
CXCL2	epithelial_chemokine_entry	6	4	3	-1.0349531279421087	-0.1417065676139813	-0.3547754866830088
ICAM1	endothelial_entry;epithelial_chemokine_entry;stromal_retention_fibrosis;tls_lymphoid_niche	5	5	2	-1.0325998539497827	-1.0074096455865666	-0.6379627503137484
CXCL3	epithelial_chemokine_entry	5	3	2	-0.8587899814997945	-0.2146586319493479	-0.4081291039447555
CXCL10	endothelial_entry	3	3	1	-2.2107996462474744	1.234533517838494	-1.7672494546614537
PDPN	stromal_retention_fibrosis;tls_lymphoid_niche	5	3	1	-0.2458651929471784	-0.5964119256178607	-0.4809082294155871
SELE	endothelial_entry;epithelial_chemokine_entry	1	1	1	-0.8351133144326253	-0.7552011561236535	-0.3820046509671078
MMP9	stromal_retention_fibrosis	2	1	1	-0.4153988234154439	-0.3719210854747645	-0.6185566094666335
VCAM1	endothelial_entry;stromal_retention_fibrosis;tls_lymphoid_niche	5	1	1	-0.1548499482489571	-0.1259471834846133	0.2860653853283242
CXCL11	endothelial_entry	3	3	0	-2.2653188088569514	0.3492626586883368	-1.8920984503213008
CCL20	epithelial_chemokine_entry	3	2	0	-0.9919161360292392	-2.0009619168779316	-1.0366901778267767
SERPINE1	stromal_retention_fibrosis	1	1	0	-1.0351332955389667	-0.086447853377674	-0.5838885336080264
CCL2	endothelial_entry	5	1	0	-0.3278874795619735	-0.1002548398162109	-0.4424605460546171
TNFSF14	tls_lymphoid_niche	2	0	0	-0.3364315791553814	-0.4216914208903016	-0.3604346927521001
MMP3	stromal_retention_fibrosis	5	0	0	-0.2521465071838714	-1.2633125330570678	-0.6994919154093057
SAA1	epithelial_chemokine_entry	2	0	0	-0.0130458479938824	-0.3466597503065017	-0.5971579605369168
LTBR	tls_lymphoid_niche	5	0	0	0.0407736623715018	-0.4771135187574212	-0.2997932370251216
CXCL5	epithelial_chemokine_entry	3	0	0	0.0560387763394281	-0.6247034818200263	-0.1522924830687813
TNFRSF14	tls_lymphoid_niche	1	0	0	0.1407778791902989	0.4699314853491563	-1.1828243531233382
