analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	nominal_positive	nominal_negative
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	CD300A	3	3	0.576539662119665	0.856503652965458	-0.279963990845793	-1.956124768466428	-2.9946922224766466	0.0803941779377561	0.0073643885087904	0.0104481713795454	1.0	0.7165216575425615	False	0.4327782574887212	False	False	False	False	False	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	CD300A	6	6	7.005430971706498	6.590878699503555	0.4145522722029433	0.8838692920093396	1.6584820644276177	0.1314810411741527	0.275722787755806	0.2339228352254242	1.0	6.798154835605025	False	0.5287109373430809	False	False	False	False	False	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	CD300A	11	14	0.3925187220763401	0.1886494585831702	0.2038692634931699	0.5088020650379217	1.2498553545954438	0.2281651466828509	0.0008095099223761	0.0002988726719109	0.48	0.278351934520165	False	0.8441184433525579	False	False	False	False	False	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	CD300A	5	17	1.2501885563962756	0.0755433188914681	1.1746452375048075	1.260419106487766	1.3730231079697406	0.2406483188889029	0.0089446589446589	0.0002085940759282	0.1363636363636363	0.3425081455971062	False	0.6318710255487103	False	False	False	False	False	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	CD300A	5	19	0.3450501155510397	0.1287433347202094	0.2163067808308303	0.5250369159332603	1.0633073660534809	0.3275896650539009	0.0012810712964006	0.0008292021714769	0.25	0.173807247393299	False	0.6521726274113633	False	False	False	False	False	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	CD300A	6	6	0.1587868584835784	0.339566179959453	-0.1807793214758745	-0.4970765496827918	-0.932708659243433	0.3754439695533652	0.0009009009009009	0.0009380806592123	0.4166666666666667	0.2491765192215157	False	0.7011803686928806	False	False	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD300A	6	6	6.351271151805887	6.590878699503555	-0.239607547697668	-0.3857689697679836	-0.7238524102567874	0.4867016772003428	0.2293240328567516	0.2339228352254242	1.0	6.47107492565472	False	0.7964105655721803	False	False	False	False	False	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	CD300A	3	19	0.6797157738823946	0.1548711790037235	0.524844594878671	1.1223069320297754	0.7690542047734593	0.5211519895627432	0.0050251256281407	0.0010193956283455	0.3181818181818182	0.2264408964871787	False	0.8819046809187733	False	False	False	False	False	False
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	CD300A	3	3	4.8941383836852586	4.566626243526152	0.3275121401591061	0.396115682128257	0.6064258127054547	0.577737035113211	0.1326998050682261	0.1411946050096339	1.0	4.730382313605706	False	0.8665884716683055	False	False	False	False	False	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	CD300A	10	14	0.4492877618115136	0.589035514056116	-0.1397477522446024	-0.2015271444827492	-0.5369227447463792	0.5967137345807169	0.0007840642975603	0.0014752626760519	0.4583333333333333	0.5308072839541983	False	0.9414904492836016	False	False	False	False	False	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	CD300A	9	13	7.312206783847366	7.252135696641811	0.0600710872055554	0.1140950773409579	0.2789721647584935	0.7833616960606707	0.2153061289018219	0.2718717705201697	1.0	7.2767102323168125	False	0.9948639731126404	False	False	False	False	False	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	CD300A	6	6	0.3035828402580693	0.339566179959453	-0.0359833397013836	-0.0746049552075991	-0.1399878706589588	0.8925136983193905	0.0007024541455709	0.0009380806592123	0.5	0.3215745101087611	False	0.9530175383648238	False	False	False	False	False	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	CD300A	3	3	0.5116165306875631	0.4750144552923907	0.0366020753951723	0.0802079684140934	0.1227928724498743	0.9105042469451065	0.0061596738971947	0.0035550173232592	1.0	0.4933154929899769	False	0.9732080631946886	False	False	False	False	False	False
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	CD300LF	3	3	3.1424647950682627	0.8966658983806625	2.2457988966876004	2.102009132988344	3.2180311315571934	0.0329241262330017	0.0478679337231968	0.0073333333333333	0.8333333333333334	2.019565346724463	False	0.7297013371935511	True	False	False	False	True	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	CD300LF	6	6	0.7230696226963403	2.3429120486051427	-1.6198424259088022	-0.8593785725121212	-1.6125279630709255	0.13796299304558	0.0026881720430107	0.0157777845053858	0.5833333333333334	1.5329908356507416	False	0.4714553114319784	False	False	False	False	False	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	CD300LF	3	3	0.0287393392634126	0.0	0.0287393392634126	1.2680125820581143	1.9412398834196023	0.1917400513785026	0.0003260024999155	0.0	0.3333333333333333	0.0143696696317063	False	0.5456756292179015	False	False	False	False	False	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	CD300LF	9	13	5.365843211029866	5.153476866610442	0.2123663444194248	0.2918155337961253	0.7839790715145531	0.4429111215810773	0.0579306953283295	0.0754172082034379	1.0	5.240354007509297	False	0.9693858770743689	False	False	False	False	False	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	CD300LF	6	6	1.8589692288611872	2.3429120486051427	-0.4839428197439555	-0.287428126970884	-0.539326796057757	0.6019621313678509	0.0084977925297943	0.0157777845053858	1.0	2.100940638733165	False	0.7993204385709738	False	False	False	False	False	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	CD300LF	6	6	5.411786994165291	5.11277557131162	0.2990114228536704	0.2739908848661951	0.5141133111822549	0.6214935927393879	0.1490330155706592	0.1007967810910772	1.0	5.2622812827384555	False	0.8584455259842255	False	False	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD300LF	6	6	5.261084633084199	5.11277557131162	0.1483090617725784	0.1850349264702208	0.34719738497296	0.7357837248931032	0.1027596445578584	0.1007967810910772	1.0	5.18693010219791	False	0.9250326337221634	False	False	False	False	False	False
