cell_state	gene	n_patient_units	n_remission	n_non_remission	mean_delta_remission	mean_delta_non_remission	raw_delta_remission_minus_non	raw_t	raw_p	raw_fdr	mean_delta	paired_p	paired_fdr	n	remission_adjusted_delta	remission_adjusted_p	formula	remission_adjusted_fdr	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	ms_max_l2g_score	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_relevant_qtl_h4	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave55_score	wave55_genetic_diseases_ge_0_25	has_cross_autoimmune_genetics	has_any_druggability_flag	manual_or_prior_blocked	wave68_posthoc_blocker	perturbation_strength	integrated_score	wave68_call	wave68_call_priority	best_nominal_p	response_weight	genetic_breadth_weight	anchor_weight
DC	RGS14	29	13	16	1.3393978148274543	0.0811484628842245	1.2582493519432298	2.4644997677114135	0.0231153036723188	1.0	0.5532130964505153	0.0287252207518441	1.0	29.0	1.872360653346221	0.0006732168657248	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0113313768794424	regulator of G protein signaling 14	5.299052728193885	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE			0.8030093312263489	MS	3.0	Crohn;MS;Psoriasis	0.8030093312263489	3.0	Crohn;MS;Psoriasis	1.0	0.9960433969675369	0.9952074420704352	7.0		0.0	15.0	Crohn;MS;Psoriasis;UC	True	False	False		3.177837021834385	5.827363385931328	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0006732168657248	3.1718450124236908	2.3333333333333335	6.9880380431873
DC	CD274	29	13	16	-2.188605025392694	0.4981098599482708	-2.686714885340965	-3.562625080784952	0.0014030303404273	1.0	-0.8170580229706744	0.0712909566698671	1.0	29.0	-1.910462269225896	0.0076090129940144	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0243347862186503	CD274 molecule	2.9596697863916814	NO_GO_WAVE62_TARGET_RESOLUTION			0.9614720344543456	UC	1.0	UC	0.0	8.0	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	1.0	0.9981977519373356	0.0	0.0		0.0	8.0	UC	True	False	False		3.999898494633644	5.479733387829485	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0014030303404273	2.8529329372840553	3.3333333333333335	5.999434497146563
DC	LPP	29	13	16	0.4545023126204717	0.3885961922338009	0.0659061203866708	0.2609843335861005	0.7964647968302512	1.0	0.406887471673706	0.0003426302335508	0.4513871356812807						LIM domain containing preferred translocation partner in lipoma	3.780523661570592	NO_GO_WAVE62_TARGET_RESOLUTION			0.8315747380256653	Celiac	4.0	Celiac;Crohn;Psoriasis;UC	0.0	3.0	Celiac;Crohn;UC	3.0	0.9489489235449264	0.0	13.0		0.0	20.0	AITD;Celiac;Crohn;Psoriasis;SLE;UC	True	False	False		3.564007732654848	5.454269563440144	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0003426302335508	3.465174317713301	3.3333333333333335	7.0221028151652645
Mono_macro	ARHGAP31	29	13	16	-0.6062579869322063	1.2149381232096992	-1.8211961101419056	-3.749426529982903	0.0015955308480478	0.5886002222783179	0.5536212632225525	0.0595321410169068	1.0	29.0	-1.9632448191743863	0.0001470110630694	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0078377860683372	Rho GTPase activating protein 31	1.9642986450036732	NO_GO_WAVE62_TARGET_RESOLUTION			0.4761800169944763	Celiac	0.0		0.0	3.0	MS;PBC;SLE	3.0	0.9881186280091968	0.9697933601892716	3.0		0.0	5.0	Celiac;SLE	True	False	False		4.022343292903802	5.004492615405638	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0001470110630694	3.8326499819238875	2.0	5.8147993044257245
DC	TNFSF15	29	13	16	1.6514519806822203	-0.330462546634637	1.9819145273168577	3.6239204033314167	0.0014589831012795	1.0	0.475941167777705	0.1229668012920695	1.0	29.0	2.152263699355643	0.0023029456729638	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.016227237565977	TNF superfamily member 15	2.399786708229124	NO_GO_WAVE62_TARGET_RESOLUTION			0.9050722718238832	Crohn	3.0	Crohn;Psoriasis;UC	0.0	2.0	Crohn;UC	2.0	0.994714436405241	0.0	10.0		0.0	22.0	AITD;AS;Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC	True	False	False		3.746161862329987	4.946055216444549	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0014589831012795	2.835949738307759	2.3333333333333335	5.202509759088988
Mono_macro	NCF1	29	13	16	-0.4473043503196044	-0.324401889779616	-0.1229024605399884	-0.5463546119660675	0.5893119377786881	1.0	-0.3768015618946096	0.0002153553881396	0.1621736418604976						neutrophil cytosolic factor 1	1.9413509047493085	NO_GO_WAVE62_TARGET_RESOLUTION			0.4444949328899383	Sjogren	0.0		0.0	3.0	Crohn;SLE;Sjogren	0.0	0.99685597185937	0.0	1.0		0.0	3.0	Sjogren	True	False	False		3.896499019071236	4.867174471445891	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0002153553881396	3.6668442578228015	1.0	5.137519710197456
DC	CD80	29	13	16	-1.496644640205787	0.3304087166180717	-1.8270533568238587	-3.320705376931519	0.0025906273714744	1.0	-0.5807196358654889	0.1107524606213607	1.0	29.0	-1.641309378081225	0.0138865287729065	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0315923718869413	CD80 molecule	1.980431238265584	NO_GO_WAVE62_TARGET_RESOLUTION			0.4848191142082214	SLE	0.0		0.4205642342567444	3.0	MS;PBC;T1D	2.0	0.9956121240573628	0.9886715596851404	7.0		0.0	7.5	PBC;SLE	True	False	False		3.5422416663580156	4.532457285490808	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0025906273714744	2.5865950502139174	1.6666666666666667	4.410144002680043
DC	FCGR2B	29	13	16	0.8703545789568565	0.2585022967424781	0.6118522822143784	1.7356141502249545	0.0945242491923628	1.0	0.553385597600361	0.0033559386410933	0.6910591719060241						Fc gamma receptor IIb	1.835668561074276	NO_GO_WAVE62_TARGET_RESOLUTION			0.3366105854511261	SLE	0.0		0.0	4.0	AS;Crohn;SLE;UC	0.0	0.99905797562315	0.0	5.0		0.0	2.0	SLE	True	False	False		3.498642751831686	4.4164770323688245	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0033559386410933	2.4741859882718846	1.3333333333333333	4.05868693547569
DC	IL7R	29	13	16	-2.040518606022839	0.581936791459621	-2.62245539748246	-2.8741545866909073	0.0100848644568361	1.0	-0.7460735775578966	0.0876092593316852	1.0	29.0	-2.9079824111965737	0.0083203600324152	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0255314273575321	interleukin 7 receptor	6.446508829028122	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	prior_art_CD127_autoimmune_axis		0.9528712630271912	PBC	4.0	Crohn;MS;PBC;T1D	0.9447864890098572	4.0	Crohn;MS;PBC;T1D	4.0	0.9936375660009308	0.9844688660839735	13.0		0.0	26.0	AITD;Crohn;MS;PBC;Psoriasis;SLE;T1D	True	False	True		3.053779925714331	4.277034340228393	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0083203600324152	2.0798578808356907	4.0	7.303112295349752
Mono_macro	STAT4	29	13	16	-1.6526748364680093	0.8620015114491408	-2.51467634791715	-3.772563220180443	0.0015163184704909	0.5873562852590756	-0.1892208403873197	0.5808361587347401	1.0	29.0	-2.7638924115452257	0.0001654893239718	target_delta ~ remission_binary + generic_delta + baseline_inflammation_score + C(Disease)	0.0078377860683372	signal transducer and activator of transcription 4	4.377520842140743	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	STAT4_TF_not_selectively_druggable	prior_branch_blocker_or_directionality_unresolved	0.8833943605422974	RA	8.0	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	0.845672070980072	7.0	Celiac;Crohn;MS;PBC;RA;SLE;Sjogren	2.0	0.9941264815984456	0.955404271318453	31.0	CHEMBL4523296	0.0	24.0	AITD;Celiac;Crohn;MS;PBC;RA;SLE;Sjogren;T1D	True	True	True		3.0551559301673517	4.243916351237724	PARK_GENETIC_PERTURBATION_INTERSECTION	1	0.0001654893239718	3.7812300181401577	5.666666666666667	8.46999043921053
