row_key	check	status	detail
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	present_in_independence_matrix	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_source_independence_v48.tsv
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.grounded_finding_id	PASS	expected=Bounded APC/HLA-II early treatment-response monitoring scalar observed=Bounded APC/HLA-II early treatment-response monitoring scalar
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.external_record_id	PASS	expected=claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13 observed=claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.relationship_class	PASS	expected=insufficient-overlap observed=insufficient-overlap
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.synthesis_status	PASS	expected=NO_DIRECT_EXTERNAL_CORROBORATION observed=NO_DIRECT_EXTERNAL_CORROBORATION
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.external_source	PASS	expected=https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a observed=https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.canonical_source_url	PASS	expected=https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a observed=https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.source_domain	PASS	expected=dailymed.nlm.nih.gov observed=dailymed.nlm.nih.gov
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.canonical_source_row_count	PASS	expected=3 observed=3
Bounded APC/HLA-II early treatment-response monitoring scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.source_independence_class	PASS	expected=not_decision_relationship observed=not_decision_relationship
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	present_in_independence_matrix	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_source_independence_v48.tsv
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.grounded_finding_id	PASS	expected=Coupled APC remodeling architecture observed=Coupled APC remodeling architecture
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.external_record_id	PASS	expected=resource.msgd.database_commons.2026-06-13 observed=resource.msgd.database_commons.2026-06-13
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.relationship_class	PASS	expected=insufficient-overlap observed=insufficient-overlap
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.synthesis_status	PASS	expected=NO_DIRECT_EXTERNAL_CORROBORATION observed=NO_DIRECT_EXTERNAL_CORROBORATION
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.external_source	PASS	expected=https://ngdc.cncb.ac.cn/databasecommons/database/id/9285 observed=https://ngdc.cncb.ac.cn/databasecommons/database/id/9285
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.canonical_source_url	PASS	expected=https://ngdc.cncb.ac.cn/databasecommons/database/id/9285 observed=https://ngdc.cncb.ac.cn/databasecommons/database/id/9285
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.source_domain	PASS	expected=ngdc.cncb.ac.cn observed=ngdc.cncb.ac.cn
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.canonical_source_row_count	PASS	expected=2 observed=2
Coupled APC remodeling architecture||resource.msgd.database_commons.2026-06-13	field_matches.source_independence_class	PASS	expected=not_decision_relationship observed=not_decision_relationship
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	present_in_independence_matrix	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/convergence_source_independence_v48.tsv
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.grounded_finding_id	PASS	expected=Coupled-axis successor rule does not beat scalar observed=Coupled-axis successor rule does not beat scalar
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.external_record_id	PASS	expected=claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13 observed=claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.relationship_class	PASS	expected=insufficient-overlap observed=insufficient-overlap
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.synthesis_status	PASS	expected=NO_DIRECT_EXTERNAL_CORROBORATION observed=NO_DIRECT_EXTERNAL_CORROBORATION
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.external_source	PASS	expected=https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a observed=https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.canonical_source_url	PASS	expected=https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a observed=https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.source_domain	PASS	expected=dailymed.nlm.nih.gov observed=dailymed.nlm.nih.gov
Coupled-axis successor rule does not beat scalar||claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	field_matches.canonical_source_row_count	PASS	expected=3 observed=3
