gene	mean_tweak	mean_vehicle	delta_log2	hedges_g	p_value	q_value_bh
MMP19	10.228523173189183	9.091381217059931	1.137141956129252	48.62562726886166	1.9736669682474077e-07	0.0036929282642877244
TRAF3	11.334465869810396	9.779265884242387	1.5551999855680094	36.21859337780816	8.94469523711229e-07	0.005759314146851746
GATA6	10.534160846416643	8.431038753617944	2.1031220927986993	33.23163501362664	1.4890630090616702e-06	0.005759314146851746
TNIP1	11.701912419291721	10.891208021423312	0.8107043978684096	30.059366070135713	1.6837961081029312e-06	0.005759314146851746
IL15	7.447285148907756	6.119614463784365	1.3276706851233913	43.67424502163479	1.8060683992568085e-06	0.005759314146851746
TAP1	11.840953011601963	10.431668798124969	1.4092842134769938	29.4785860515236	2.2052470236197622e-06	0.005759314146851746
LBH	14.541321625000364	15.317231781805186	-0.7759101568048212	-25.045897701769327	2.824697701693317e-06	0.005759314146851746
NFKB2	11.84213822064475	8.987423329023441	2.8547148916213096	49.41223490517254	2.8895455143018895e-06	0.005759314146851746
ICAM1	12.435290202650842	10.003167242492063	2.432122960158779	32.191847108206005	3.3133625625224675e-06	0.005759314146851746
PLK2	10.341053178706677	8.308750091740963	2.0323030869657135	23.88370383021583	3.344339802250422e-06	0.005759314146851746
DNASE1L1	8.572849152353006	8.89450366970045	-0.32165451734744366	-26.4081574274294	3.3858401803949125e-06	0.005759314146851746
BMP4	10.104274924322795	10.825820501794253	-0.7215455774714581	-20.233202369451554	6.495337127854141e-06	0.008354655998308211
UTP15	8.430771625220617	7.439147703103354	0.9916239221172622	27.6196650981769	6.535709171948851e-06	0.008354655998308211
KIRREL3	9.072587097119756	7.897537308669481	1.1750497884502753	19.900382694475553	6.9181415918752845e-06	0.008354655998308211
HBEGF	8.793739546218811	6.36428268977103	2.429456856447781	21.06309665513013	7.11112132908423e-06	0.008354655998308211
SLC7A2	12.574839471281388	8.766864083888587	3.8079753873928013	20.865942080004903	7.144166317830762e-06	0.008354655998308211
DDA1	11.423750444887533	10.540845366471515	0.8829050784160177	18.61176695295363	9.648852833174884e-06	0.010037803647090797
LZTS1	8.249432381031285	8.939505751405742	-0.6900733703744564	-18.5359820921293	9.656376764878111e-06	0.010037803647090797
LAP3	11.805491076980507	10.2017537165905	1.6037373603900065	34.16133332391002	1.1446649337820384e-05	0.011272539776839853
APBA1	9.80630688649959	10.719345976906993	-0.9130390904074037	-16.998829244527396	1.2966028426277023e-05	0.012130367894203468
RHBDF2	8.458802601097789	6.669146025096765	1.7896565760010237	16.278765499949795	1.601338863217937e-05	0.01426792927127182
IFNGR2	10.651236667735844	9.405099159560097	1.2461375081757478	18.96708703621227	1.9819469666899977e-05	0.01643188779402741
WASL	9.887059058097487	10.121268009074962	-0.23420895097747518	-48.956175434124816	2.019846182794241e-05	0.01643188779402741
