analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	positive_trend	negative_trend
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	SEL1L3	3	3	3.491606266231847	2.1512744575423186	1.3403318086895282	1.752974334940741	2.6836829079996924	0.0624511619179757	0.1037543630807879	0.0342016321932951	1.0	2.8214403618870825	False	0.4168110033375143	False	False	False	False	True	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	SEL1L3	3	19	3.9897241983832834	2.352287913234889	1.6374362851483943	1.5592839677261794	2.8750278997749676	0.0668095553371864	0.0659117930795286	0.0330212208225271	0.9090909090909092	2.5755746793914884	False	0.5809296780774873	False	False	False	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	SEL1L3	6	6	5.78026473958323	5.227544078549799	0.5527206610334314	1.1012130859446163	2.0663034327171035	0.0762363357561278	0.1582839085434279	0.1006042359769625	1.0	5.503904409066514	False	0.3391504609825084	False	False	False	False	True	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	SEL1L3	6	6	5.785528012549414	5.227544078549799	0.5579839339996155	1.0147441178968608	1.904054066285612	0.099582205076476	0.1327693306470895	0.1006042359769625	1.0	5.506536045549606	False	0.4169828396251992	False	False	False	False	True	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	SEL1L3	5	19	7.037079302534437	6.579560263627007	0.4575190389074297	0.8584941155484359	1.4781330264148862	0.1970145306608743	0.4819470556334016	0.3577813383813878	1.0	6.674876730066056	False	0.5814149992948326	False	False	False	False	False	False
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	SEL1L3	3	3	4.409023337863167	3.6500976353400545	0.7589257025231126	0.7005311493637816	1.0724649155416832	0.3500053680005874	0.1102339181286549	0.0809672447013487	1.0	4.029560486601611	False	0.7720514374461968	False	False	False	False	False	False
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	SEL1L3	4	17	2.9528927102932236	1.7676875878939775	1.185205122399246	0.6481663248329893	0.993109929685049	0.3797142179916657	0.0959390810744107	0.0268174798123542	0.6190476190476191	1.9934409445414532	False	0.769128799203029	False	False	False	False	False	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	SEL1L3	10	14	3.059066105459259	3.2574782914203517	-0.1984121859610925	-0.2055571775983195	-0.5497782411467924	0.5880246773339096	0.0148701043598709	0.0191061267510696	1.0	3.1748065472698968	False	0.9379643755784496	False	False	False	False	False	False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	SEL1L3	5	18	5.517695845749121	5.267735889500113	0.2499599562490084	0.3814701184394641	0.5318837046176952	0.6197403550403346	0.1902979846738416	0.1587527359811533	1.0	5.32207501042381	False	0.8330147403042553	False	False	False	False	False	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	SEL1L3	6	6	4.4764872014973065	4.186873699720267	0.2896135017770396	0.2651711267413685	0.4975640195676979	0.6314458430816872	0.0699727213297233	0.0583252748240612	1.0	4.331680450608787	False	0.8629991640555805	False	False	False	False	False	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	SEL1L3	9	13	4.599988119587056	4.895000663140979	-0.2950125435539226	-0.1626667079832187	-0.3803839817900688	0.7087223151383012	0.0403210125230143	0.0658313890560286	0.9090909090909092	4.774313713505283	False	0.988775528301598	False	False	False	False	False	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	SEL1L3	6	6	4.262787707099452	4.186873699720267	0.0759140073791853	0.1015269513295154	0.1905039912103177	0.8529209170322408	0.0607387487806377	0.0583252748240612	1.0	4.22483070340986	False	0.9644354964759384	False	False	False	False	False	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	SEL1L3	3	3	3.866663505624449	3.82818267484666	0.0384808307777881	0.0609016767453011	0.0932362703161949	0.9335618113980068	0.1010864851205211	0.0768408423839117	1.0	3.847423090235555	False	0.9802910993949956	False	False	False	False	False	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	SEL1L3	11	14	6.50652475688045	6.488879718497713	0.0176450383827369	0.0286407493149731	0.0808683075672323	0.9364813954612774	0.1050280691712392	0.1518352966276585	1.0	6.4966435353861165	False	0.9812373041533088	False	False	False	False	False	False
