check_id	file	status	detail
readme_current_phase	README.md	PASS	expected substring: 'The current live operational phase is **V53**'
readme_live_queue_pointer	README.md	PASS	expected substring: 'meta/V53_QUEUE.md'
readme_no_v43_current_phrase	README.md	PASS	forbidden substring: 'The current phase is **V43**'
current_status_current_phase	meta/CURRENT_STATUS.md	PASS	expected substring: 'V53 is the current live operational phase'
current_status_live_queue_pointer	meta/CURRENT_STATUS.md	PASS	expected substring: 'meta/V53_QUEUE.md'
current_status_opengwas_renewed	meta/CURRENT_STATUS.md	PASS	expected substring: 'JWT renewed and verified on `2026-07-10`'
current_status_no_stale_jwt_valid_until	meta/CURRENT_STATUS.md	PASS	forbidden substring: 'JWT valid until'
current_status_no_stale_near_expiry	meta/CURRENT_STATUS.md	PASS	forbidden substring: 'near-expiry'
current_status_no_stale_token_valid_until	meta/CURRENT_STATUS.md	PASS	forbidden substring: 'token valid until'
current_status_no_stale_opengwas_access_works_when_env_is_loaded_explicitly	meta/CURRENT_STATUS.md	PASS	forbidden substring: 'OpenGWAS access works when `.env` is loaded explicitly'
next_actions_current_block	meta/NEXT_ACTIONS.md	PASS	expected substring: 'V53 update:'
next_actions_live_queue_pointer	meta/NEXT_ACTIONS.md	PASS	expected substring: 'meta/V53_QUEUE.md'
next_actions_opengwas_renewed	meta/NEXT_ACTIONS.md	PASS	expected substring: 'OpenGWAS JWT was renewed and verified on `2026-07-10`'
next_actions_no_stale_jwt_valid_until	meta/NEXT_ACTIONS.md	PASS	forbidden substring: 'JWT valid until'
next_actions_no_stale_near_expiry	meta/NEXT_ACTIONS.md	PASS	forbidden substring: 'near-expiry'
next_actions_no_stale_expires_2026_06_19	meta/NEXT_ACTIONS.md	PASS	forbidden substring: 'expires `2026-06-19'
