seed	donors	effect_scale	check	status
57061	12	0.80	false_promotion_le_0.05	PASS
57061	12	0.80	any_true_rescue_ge_0.80	PASS
57061	12	0.80	precision_ge_0.90	PASS
57061	12	0.80	false_promotion_below_average	PASS
57061	12	0.80	true_rescue_loss_le_0.10	PASS
57061	12	1.00	false_promotion_le_0.05	PASS
57061	12	1.00	any_true_rescue_ge_0.80	PASS
57061	12	1.00	precision_ge_0.90	PASS
57061	12	1.00	false_promotion_below_average	PASS
57061	12	1.00	true_rescue_loss_le_0.10	PASS
57061	14	0.80	false_promotion_le_0.05	PASS
57061	14	0.80	any_true_rescue_ge_0.80	PASS
57061	14	0.80	precision_ge_0.90	PASS
57061	14	0.80	false_promotion_below_average	PASS
57061	14	0.80	true_rescue_loss_le_0.10	PASS
57061	14	1.00	false_promotion_le_0.05	PASS
57061	14	1.00	any_true_rescue_ge_0.80	PASS
57061	14	1.00	precision_ge_0.90	PASS
57061	14	1.00	false_promotion_below_average	PASS
57061	14	1.00	true_rescue_loss_le_0.10	PASS
57061	16	0.80	false_promotion_le_0.05	PASS
57061	16	0.80	any_true_rescue_ge_0.80	PASS
57061	16	0.80	precision_ge_0.90	PASS
57061	16	0.80	false_promotion_below_average	PASS
57061	16	0.80	true_rescue_loss_le_0.10	PASS
57061	16	1.00	false_promotion_le_0.05	PASS
57061	16	1.00	any_true_rescue_ge_0.80	PASS
57061	16	1.00	precision_ge_0.90	PASS
57061	16	1.00	false_promotion_below_average	PASS
57061	16	1.00	true_rescue_loss_le_0.10	PASS
57062	12	0.80	false_promotion_le_0.05	PASS
57062	12	0.80	any_true_rescue_ge_0.80	PASS
57062	12	0.80	precision_ge_0.90	PASS
57062	12	0.80	false_promotion_below_average	PASS
57062	12	0.80	true_rescue_loss_le_0.10	PASS
57062	12	1.00	false_promotion_le_0.05	PASS
57062	12	1.00	any_true_rescue_ge_0.80	PASS
57062	12	1.00	precision_ge_0.90	PASS
57062	12	1.00	false_promotion_below_average	PASS
57062	12	1.00	true_rescue_loss_le_0.10	PASS
57062	14	0.80	false_promotion_le_0.05	PASS
57062	14	0.80	any_true_rescue_ge_0.80	PASS
57062	14	0.80	precision_ge_0.90	PASS
57062	14	0.80	false_promotion_below_average	PASS
57062	14	0.80	true_rescue_loss_le_0.10	PASS
57062	14	1.00	false_promotion_le_0.05	PASS
57062	14	1.00	any_true_rescue_ge_0.80	PASS
57062	14	1.00	precision_ge_0.90	PASS
57062	14	1.00	false_promotion_below_average	PASS
57062	14	1.00	true_rescue_loss_le_0.10	PASS
57062	16	0.80	false_promotion_le_0.05	PASS
57062	16	0.80	any_true_rescue_ge_0.80	PASS
57062	16	0.80	precision_ge_0.90	PASS
57062	16	0.80	false_promotion_below_average	PASS
57062	16	0.80	true_rescue_loss_le_0.10	PASS
57062	16	1.00	false_promotion_le_0.05	PASS
57062	16	1.00	any_true_rescue_ge_0.80	PASS
57062	16	1.00	precision_ge_0.90	PASS
57062	16	1.00	false_promotion_below_average	PASS
57062	16	1.00	true_rescue_loss_le_0.10	PASS
57063	12	0.80	false_promotion_le_0.05	PASS
57063	12	0.80	any_true_rescue_ge_0.80	PASS
57063	12	0.80	precision_ge_0.90	PASS
57063	12	0.80	false_promotion_below_average	PASS
57063	12	0.80	true_rescue_loss_le_0.10	PASS
57063	12	1.00	false_promotion_le_0.05	PASS
57063	12	1.00	any_true_rescue_ge_0.80	PASS
57063	12	1.00	precision_ge_0.90	PASS
57063	12	1.00	false_promotion_below_average	PASS
57063	12	1.00	true_rescue_loss_le_0.10	PASS
57063	14	0.80	false_promotion_le_0.05	PASS
57063	14	0.80	any_true_rescue_ge_0.80	PASS
57063	14	0.80	precision_ge_0.90	PASS
57063	14	0.80	false_promotion_below_average	PASS
57063	14	0.80	true_rescue_loss_le_0.10	PASS
57063	14	1.00	false_promotion_le_0.05	PASS
57063	14	1.00	any_true_rescue_ge_0.80	PASS
57063	14	1.00	precision_ge_0.90	PASS
57063	14	1.00	false_promotion_below_average	PASS
57063	14	1.00	true_rescue_loss_le_0.10	PASS
57063	16	0.80	false_promotion_le_0.05	PASS
57063	16	0.80	any_true_rescue_ge_0.80	PASS
57063	16	0.80	precision_ge_0.90	PASS
57063	16	0.80	false_promotion_below_average	PASS
57063	16	0.80	true_rescue_loss_le_0.10	PASS
57063	16	1.00	false_promotion_le_0.05	PASS
57063	16	1.00	any_true_rescue_ge_0.80	PASS
57063	16	1.00	precision_ge_0.90	PASS
57063	16	1.00	false_promotion_below_average	PASS
57063	16	1.00	true_rescue_loss_le_0.10	PASS
