gene	phenotype_strength_lfc	contrast_fdr	efficient_consistent_positive	state_recurrence	broad_positive_disease_count	positive_contexts	ms_anchor	ms_delta_log2	ms_p	modality_or_accessible_route	chembl_target_id	druggability_activity_or_target_count	genetic_anchor_annotation	strong_l2g_disease_count	strong_qtl_coloc_disease_count	wave81_call	wave82_call	gene_class	intervention_route_read	hard_blocked_annotation	pivot_score	promote	blockers	prior_annotation
MREG	0.7381558563486115	0.9971256078463696	True	True	2.0	ibd_crohn_myeloid;t1d_acinar_cell	False	-1.1356746357606893	0.3109854665752915	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.614467569045835	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
CLEC7A	0.6670469582228472	0.9971256078463696	True	True	3.0	ibd_crohn_myeloid;ibd_uc_myeloid	False	-0.3549463925802421	0.128706751389563	False		0.0	False	0.0	1.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.601140874668541	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CCDC121	0.6827272084298491	0.920009505703422	True	True	2.0	t1d_stellate_cell	False	0.4429917115479078	0.2380875945504296	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.448181625289548	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
EFR3A	0.8947628318325367	0.920009505703422	True	False	1.0		True	0.2644865146297235	0.0409895429330483	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.38428849549761	False	insufficient_autoimmune_state_recurrence;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
SLCO4C1	0.5514568850193836	0.920009505703422	True	True	2.0	sjogren_gland_apc;t1d_ductal_cell	False	0.0	1.0	False		0.0	False	0.0	0.0					False	4.054370655058151	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
GGA1	0.600222617398225	0.920009505703422	True	True	1.0	t1d_stellate_cell;t1d_endothelial_cell	False	0.1086874109223448	0.5178793816714067	False		0.0	False	0.0	0.0					False	4.000667852194675	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
OLFR266	1.3236991570332537	1.0	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.9710974710997613	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
RASA3	0.5037412986215364	0.920009505703422	True	True	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	False	-0.0750173593161473	0.7704249997063175	False		0.0	False	0.0	0.0					False	3.9112238958646093	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	  NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
PDCD6IP	1.2170477653396643	0.920009505703422	True	False	1.0	t1d_endothelial_cell	False	0.0525392734147782	0.6288941416097741	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.851143296018993	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
AHCTF1	0.768308361290408	0.920009505703422	True	False	0.0		True	0.3408473138799657	0.049567863682125	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.804925083871224	False	insufficient_autoimmune_state_recurrence;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
CRLF3	0.5330711391952984	0.920009505703422	True	True	1.0	t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	False	0.1194874213759771	0.4521596915947904	False		0.0	False	0.0	0.0					False	3.799213417585895	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
PYDC3	1.192668828893351	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.578006486680053	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TSC1	1.1788476545613715	0.920009505703422	True	False	0.0		False	0.0364246955213065	0.7995019245596273	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.5365429636841146	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
INTS7	1.0702004249539363	0.920009505703422	True	False	1.0	t1d_stellate_cell	False	-0.3213691215850422	0.7500444708175612	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.410601274861809	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
MCMBP	1.043248837727032	0.920009505703422	True	False	1.0	t1d_stellate_cell	False	0.1090013411621377	0.3668729499595036	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.329746513181096	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
MMS22L	1.041004774142687	0.920009505703422	True	False	1.0	t1d_endothelial_cell	False	-0.3694222186304907	0.6584127480472038	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.3230143224280617	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
VMN2R87	1.0970815686567217	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.291244705970165	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
IGLON5	1.0204032580512368	0.920009505703422	True	False	1.0	ibd_uc_myeloid	False	-0.3955086162820667	0.6674202686855241	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	3.2612097741537105	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
FCGRT	1.0489029953992377	0.920009505703422	True	False	0.0		False	0.0231623625607966	0.8909537537424405	False		0.0	False	0.0	0.0	NO_GO_PERTURBATION_FIRST_BLOCKED				False	3.146708986197713	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	prior global survivor audit marked a blocked branch | prior global survivor audit marked a blocked branch |      
ZSWIM7	0.994070445341208	0.920009505703422	True	False	0.0		False	0.080290570252691	0.7811454644298303	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.982211336023624	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
AXIN1	0.9860183805212732	0.920009505703422	True	False	0.0		False	-0.1472896811219346	0.4522029876896532	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.9580551415638197	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
VMN1R142	0.9751204018760492	1.0	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.9253612056281475	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
MAN1A2	0.9058439561521868	1.0	True	False	1.0		False	0.241003244143517	0.1354181777450778	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.9175318684565608	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
FZD4	0.8948272603665511	0.920009505703422	True	False	1.0		False	0.2341258402195833	0.5017585026468344	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.8844817810996535	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
ZFP775	0.9565179349957516	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.8695538049872544	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
LHX2	0.9510873903574384	0.920009505703422	True	False	0.0		False	0.1614119352184504	0.8939418631098478	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.8532621710723154	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
BEAN1	0.9396905386087092	0.9971256078463696	True	False	0.0		False	1.895895312215054	0.0520248248522866	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.8190716158261275	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
OLFR615	0.917722558670084	0.9971256078463696	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.753167676010252	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
NKAIN2	0.917538115831697	0.920009505703422	True	False	0.0		False	0.1459157680322858	0.8993021428533917	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.752614347495091	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
SLC38A9	0.839036932213384	0.920009505703422	True	False	1.0		False	-0.0138294648293957	0.941748458767518	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.7171107966401524	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
GM2825	0.8898829750497745	1.0	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.669648925149324	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
ZFP598	0.8846439794835519	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.653931938450656	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
YTHDF2	0.8747315389922106	0.920009505703422	True	False	0.0		False	0.1327571129098164	0.3644206959031834	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.6241946169766317	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
POC5	0.804487896071381	0.920009505703422	True	False	1.0	t1d_stellate_cell	False	-1.2807223485285002	0.2516597340064326	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.6134636882141433	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
PLLP	0.8004670765727546	0.920009505703422	True	False	1.0	ibd_crohn_myeloid	False	-0.401151847235722	0.7092657869613989	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.601401229718264	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
SLC39A3	0.7973819035726755	0.920009505703422	True	False	1.0		False	0.3504390439417388	0.0598622921599721	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.5921457107180266	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
TIAL1	0.7822771961462163	0.9971256078463696	True	False	1.0	t1d_endothelial_cell	False	-0.1919977019666454	0.2000571614574451	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.546831588438649	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
TRIM46	0.8291055128406355	0.920009505703422	True	False	0.0		False	-0.6632328513969799	0.5429054647201933	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.4873165385219065	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
KRTAP3-1	0.8251254522357937	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	2.475376356707381	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
LRRC7	0.7569214561782507	0.920009505703422	True	False	1.0	t1d_acinar_cell;t1d_stellate_cell	False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.470764368534752	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
