gene	phenotype_strength_lfc	contrast_fdr	efficient_consistent_positive	state_recurrence	broad_positive_disease_count	positive_contexts	ms_anchor	ms_delta_log2	ms_p	modality_or_accessible_route	chembl_target_id	druggability_activity_or_target_count	genetic_anchor_annotation	strong_l2g_disease_count	strong_qtl_coloc_disease_count	wave81_call	wave82_call	gene_class	intervention_route_read	hard_blocked_annotation	pivot_score	promote	blockers	prior_annotation
YWHAE	1.2679260684680216	1.0	True	True	1.0	t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell	False	0.114292112036793	0.2622980587157738	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	6.003778205404065	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
RYK	1.059316314841792	0.920009505703422	True	True	2.0		False	0.081309930835447	0.5201429831615564	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	5.577948944525376	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
ABTB2	0.8670671833295949	0.920009505703422	True	True	2.0	ibd_uc_myeloid;t1d_stellate_cell	False	-0.1477415366285122	0.8826494351185098	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	5.001201549988785	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
FAM49B	0.7903403938506244	0.920009505703422	True	True	3.0	ibd_crohn_myeloid;ibd_uc_myeloid	False	0.1048061004481475	0.3462797066387407	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.971021181551873	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
RECQL4	0.8545654357562431	0.9971256078463696	True	True	2.0		False	-0.1913098158967807	0.8338579124203143	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.96369630726873	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
CHST11	0.8502554113258909	0.9971256078463696	True	True	2.0	ibd_crohn_myeloid	False	-0.2506943649676447	0.1533386150844086	False		0.0	False	1.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.950766233977673	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
TPX2	0.832988507912001	0.920009505703422	True	True	2.0		False	0.388655050343254	0.7566394056553223	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.8989655237360035	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
LRRC61	0.6800237937757359	1.0	True	True	4.0	ibd_crohn_myeloid;t1d_ductal_cell;t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell	False	0.697050672079687	0.5819581822185158	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.840071381327207	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
FBXO16	0.783729666809502	0.920009505703422	True	True	2.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.751189000428506	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
MGST2	0.8277298867867664	0.920009505703422	True	True	1.0	t1d_ductal_cell;t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell	False	-0.0569195742125767	0.7931953916304236	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	4.683189660360299	False	no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
